rating,title,credit,box_office,year
5,Movie 43,Lois Lane,8.8,2013
4,Playing for Keeps,Patti,13.1,2012
51,Savages,Actor,47.4,2012
50,Percy Jackson & the Olympians: The Lightning Thief,Medusa,61.2,2010
40,My Super Ex-Girlfriend,Jenny Johnson/G-Girl,22.5,2006
50,The Producers,Ulla,19.2,2005
50,Prime,Rafi Gardet,22.8,2005
30,Be Cool,Edie Athens,55.6,2005
27,Paycheck,Rachel,53.7,2003
53,The Golden Bowl,Charlotte Stant,2.2,2000
